Tipo_Acero_Limpio,Grado_Acero,Ciclo,Familia,Muestra_Probeta_Temp,Muestra,Test type,Muestra_Temp_TestType_Index,Tipo de muestra (Sin °C),Tubo,Alarg Max Req (merged),Alarg Min Req (merged),Alarg. Obt. (%) (merged),Fluencia 0.2% Obt (merged),Fluencia 0.5% Obt (merged),Fluencia 0.6% Obt (merged),Fluencia 0.7% Obt (merged),Fluencia Max Req (merged),Fluencia Min Req (merged),Fluencia Offset Obt (merged),Rotura Max Req (merged),Rotura Min Req (merged),Rotura Obt (merged),Dureza Ind. Máx. Obt 1 (merged),Dureza Ind. Max. Req (merged),Dureza Ind. Mín. Obt 1 (merged),Dureza Ind. Min. Req (merged),Dureza Prom. Máx. Obt 1 (merged),Dureza Prom. Max. Req (merged),Dureza Prom. Mín. Obt 1 (merged),Dureza Prom. Mín. Req (merged),Area Dúctil Indiv. Max. Req (%) (merged),Area Dúctil Indiv. Min. Obt (%) (merged),Area Dúctil Indiv. Min. Req (%) (merged),Area Dúctil Prom. Max. Req (%) (merged),Area Dúctil Prom. Min. Obt (%) (merged),Area Dúctil Prom. Min. Req (%) (merged),Energia Indiv. Max. Req. (J) (merged),Energia Indiv. Min. Obt. (J) (merged),Energia Indiv. Min. Req. (J) (merged),Energia Prom. Max. Req. (J) (merged),Energia Prom. Min. Obt. (J) (merged),Energia Prom. Min. Req. (J) (merged),Temp Ensayo Req (merged),Full File Path,OP,Tipo de probeta,Colada.1
DS027,B-L245-B,50367,,4118184-6335030-660,4118184,Tracción,4118184-660-T1,660,15,,27,45.5,,366,,,552,379,,,655,503,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS027/219.10 x 8.20 – DS027 – B-L245-B (50367).xlsx,,Tracción segmento tubular - 38 mm - API - Temp. Amb.,89537
DS027,B-L245-B,50367,,4118184-6335033-660,4118184,Charpy,4118184-660-C1,660,15,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,248,,,252,,-10,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS027/219.10 x 8.20 – DS027 – B-L245-B (50367).xlsx,,Charpy V longitudinal - Cuerpo - 7.5 mm - Temp. Amb.,89537
DS027,B-L245-B,50367,,4118185-6332373-670,4118185,Tracción,4118185-670-T1,670,15,,27,44,,336,,,552,379,,,655,476,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS027/219.10 x 8.20 – DS027 – B-L245-B (50367).xlsx,,Tracción segmento tubular - 38 mm - API - Temp. Amb.,89537
DS027,B-L245-B,50367,,4118185-6332376-670,4118185,Charpy,4118185-670-C1,670,15,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,232,,,239,,-10,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS027/219.10 x 8.20 – DS027 – B-L245-B (50367).xlsx,,Charpy V longitudinal - Cuerpo - 7.5 mm - Temp. Amb.,89537
DS027,B-L245-B,50367,,4118186-6332201-680,4118186,Tracción,4118186-680-T1,680,15,,27,45,,359,,,552,379,,,655,483,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS027/219.10 x 8.20 – DS027 – B-L245-B (50367).xlsx,,Tracción segmento tubular - 38 mm - API - Temp. Amb.,89537
DS027,B-L245-B,50367,,4118186-6332204-680,4118186,Charpy,4118186-680-C1,680,15,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,234,,,240,,-10,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS027/219.10 x 8.20 – DS027 – B-L245-B (50367).xlsx,,Charpy V longitudinal - Cuerpo - 7.5 mm - Temp. Amb.,89537
DS027,B-L245-B,50367,,4118190-6332313-690,4118190,Tracción,4118190-690-T1,690,15,,27,44,,347,,,552,379,,,655,477,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS027/219.10 x 8.20 – DS027 – B-L245-B (50367).xlsx,,Tracción segmento tubular - 38 mm - API - Temp. Amb.,89537
DS027,B-L245-B,50367,,4118190-6332317-690,4118190,Charpy,4118190-690-C1,690,15,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,235,,,248,,-10,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS027/219.10 x 8.20 – DS027 – B-L245-B (50367).xlsx,,Charpy V longitudinal - Cuerpo - 7.5 mm - Temp. Amb.,89537
DS027,B-L245-B,50367,,4118193-6332220-700,4118193,Tracción,4118193-700-T1,700,15,,27,41,,360,,,552,379,,,655,494,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS027/219.10 x 8.20 – DS027 – B-L245-B (50367).xlsx,,Tracción segmento tubular - 38 mm - API - Temp. Amb.,89537
DS027,B-L245-B,50367,,4118193-6332223-700,4118193,Charpy,4118193-700-C1,700,15,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,229,,,240,,-10,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS027/219.10 x 8.20 – DS027 – B-L245-B (50367).xlsx,,Charpy V longitudinal - Cuerpo - 7.5 mm - Temp. Amb.,89537
DS027,B-L245-B,50367,,4118194-6330716-710,4118194,Tracción,4118194-710-T1,710,15,,27,38.5,,351,,,552,379,,,655,482,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS027/219.10 x 8.20 – DS027 – B-L245-B (50367).xlsx,,Tracción segmento tubular - 38 mm - API - Temp. Amb.,89537
DS027,B-L245-B,50367,,4118194-6330719-710,4118194,Charpy,4118194-710-C1,710,15,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,254,,,263,,-10,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS027/219.10 x 8.20 – DS027 – B-L245-B (50367).xlsx,,Charpy V longitudinal - Cuerpo - 7.5 mm - Temp. Amb.,89537
DS027,B-L245-B,50367,,4118195-6332323-720,4118195,Tracción,4118195-720-T1,720,15,,27,49,,356,,,552,379,,,655,483,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS027/219.10 x 8.20 – DS027 – B-L245-B (50367).xlsx,,Tracción segmento tubular - 38 mm - API - Temp. Amb.,89537
DS027,B-L245-B,50367,,4118195-6332326-720,4118195,Charpy,4118195-720-C1,720,15,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,233,,,238,,-10,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS027/219.10 x 8.20 – DS027 – B-L245-B (50367).xlsx,,Charpy V longitudinal - Cuerpo - 7.5 mm - Temp. Amb.,89537
DS035,1035 BKS,35822,1035,4138900-6362781-530,4138900,Tracción,4138900-530-T1,530,5,,12,18,593,,,,,550,,,650,684,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS035/23.00 x 5.50 – DS035 – 1035 BKS – (35822 OP 72403).xls,72403,Tracción tubular - DIN - Temp. Amb.,35183
DS035,1035 BKS,35822,1035,4138904-6362790-540,4138904,Tracción,4138904-540-T1,540,5,,12,17.5,590,,,,,550,,,650,682,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS035/23.00 x 5.50 – DS035 – 1035 BKS – (35822 OP 72403).xls,72403,Tracción tubular - DIN - Temp. Amb.,35183
DS035,1035 BKS,35822,1035,4135101-6358136-550,4135101,Tracción,4135101-550-T1,550,5,,12,19,577,,,,,550,,,650,664,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS035/23.00 x 5.50 – DS035 – 1035 BKS – (35822 OP 72403).xls,72403,Tracción tubular - DIN - Temp. Amb.,35183
DS035,1035 BKS,35822,1035,4135102-6358139-560,4135102,Tracción,4135102-560-T1,560,5,,12,17,641,,,,,550,,,650,665,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS035/23.00 x 5.50 – DS035 – 1035 BKS – (35822 OP 72403).xls,72403,Tracción tubular - DIN - Temp. Amb.,35183
DS035,1035 BKS,35822,1035,4138902-6362793-560,4138902,Tracción,4138902-560-T1,560,5,,12,19,586,,,,,550,,,650,677,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS035/23.00 x 5.50 – DS035 – 1035 BKS – (35822 OP 72403).xls,72403,Tracción tubular - DIN - Temp. Amb.,35183
DS035,1035 BKS,35822,1035,4135113-6358313-570,4135113,Tracción,4135113-570-T1,570,5,,12,17.5,576,,,,,550,,,650,667,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS035/23.00 x 5.50 – DS035 – 1035 BKS – (35822 OP 72403).xls,72403,Tracción tubular - DIN - Temp. Amb.,35183
DS035,1035 BKS,35822,1035,4135105-6358253-580,4135105,Tracción,4135105-580-T1,580,5,,12,20,561,,,,,550,,,650,658,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS035/23.00 x 5.50 – DS035 – 1035 BKS – (35822 OP 72403).xls,72403,Tracción tubular - DIN - Temp. Amb.,35183
DS035,1035 BKS,35822,1035,4135106-6358142-590,4135106,Tracción,4135106-590-T1,590,5,,12,20.5,549,,,,,550,,,650,646,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS035/23.00 x 5.50 – DS035 – 1035 BKS – (35822 OP 72403).xls,72403,Tracción tubular - DIN - Temp. Amb.,35183
DS035,1035 BKS,35822,1035,4135109-6358224-600,4135109,Tracción,4135109-600-T1,600,5,,12,21,527,,,,,550,,,650,631,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS035/23.00 x 5.50 – DS035 – 1035 BKS – (35822 OP 72403).xls,72403,Tracción tubular - DIN - Temp. Amb.,35183
DS035,1035 BKS,35822,1035,4135111-6358227-610,4135111,Tracción,4135111-610-T1,610,5,,12,22,495,,,,,550,,,650,613,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS035/23.00 x 5.50 – DS035 – 1035 BKS – (35822 OP 72403).xls,72403,Tracción tubular - DIN - Temp. Amb.,35183
DS035,1035 BKS,35822,1035,4135112-6358320-620,4135112,Tracción,4135112-620-T1,620,5,,12,23.5,443,,,,,550,,,650,577,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS035/23.00 x 5.50 – DS035 – 1035 BKS – (35822 OP 72403).xls,72403,Tracción tubular - DIN - Temp. Amb.,35183
DS040,C 43,16915,,4370613-6697618-520,4370613,Tracción,4370613-520-T1,520,15,,,28,,,,,,,669,,,853,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS040/84 x 9 - DS 40- C 43 (Ciclo 16915).xlsx,,Tracción segmento tubular - 19 mm - ASTM - Temp. Amb.,29991
DS040,C 43,16915,,4370613-6697620-520,4370613,Dureza,4370613-520-D1,520,15,,,,,,,,,,,,,,26.1,27,23.6,20,25.5,,24.3,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS040/84 x 9 - DS 40- C 43 (Ciclo 16915).xlsx,,Dureza espesor cuerpo - 1 - NO - Temp. Amb.,29991
DS040,C 43,16915,,4370614-6697551-540,4370614,Tracción,4370614-540-T1,540,15,,,27,,,,,,,662,,,840,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS040/84 x 9 - DS 40- C 43 (Ciclo 16915).xlsx,,Tracción segmento tubular - 19 mm - ASTM - Temp. Amb.,29991
DS040,C 43,16915,,4370614-6697553-540,4370614,Dureza,4370614-540-D1,540,15,,,,,,,,,,,,,,26.9,27,21.5,20,26.2,,21.9,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS040/84 x 9 - DS 40- C 43 (Ciclo 16915).xlsx,,Dureza espesor cuerpo - 1 - NO - Temp. Amb.,29991
DS040,C 43,16915,,4370615-6697582-560,4370615,Tracción,4370615-560-T1,560,15,,,24.5,,,,,,,577,,,759,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS040/84 x 9 - DS 40- C 43 (Ciclo 16915).xlsx,,Tracción segmento tubular - 19 mm - ASTM - Temp. Amb.,29991
DS040,C 43,16915,,4370615-6698136-560,4370615,Dureza,4370615-560-D1,560,15,,,,,,,,,,,,,,22.6,27,20.8,20,22.6,,21.4,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS040/84 x 9 - DS 40- C 43 (Ciclo 16915).xlsx,,Dureza espesor cuerpo - 1 - NO - Temp. Amb.,29991
DS040,C 43,16915,,4370618-6697534-580,4370618,Tracción,4370618-580-T1,580,15,,,26.5,,,,,,,598,,,770,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS040/84 x 9 - DS 40- C 43 (Ciclo 16915).xlsx,,Tracción segmento tubular - 19 mm - ASTM - Temp. Amb.,29991
DS040,C 43,16915,,4370618-6697536-580,4370618,Dureza,4370618-580-D1,580,15,,,,,,,,,,,,,,23.2,27,19.1,20,22.8,,19.7,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS040/84 x 9 - DS 40- C 43 (Ciclo 16915).xlsx,,Dureza espesor cuerpo - 1 - NO - Temp. Amb.,29991
DS040,C 43,16915,,4370619-6697543-600,4370619,Tracción,4370619-600-T1,600,15,,,30,,,,,,,576,,,740,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS040/84 x 9 - DS 40- C 43 (Ciclo 16915).xlsx,,Tracción segmento tubular - 19 mm - ASTM - Temp. Amb.,29991
DS040,C 43,16915,,4370619-6697545-600,4370619,Dureza,4370619-600-D1,600,15,,,,,,,,,,,,,,23.8,27,19.8,20,23.5,,20.4,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS040/84 x 9 - DS 40- C 43 (Ciclo 16915).xlsx,,Dureza espesor cuerpo - 1 - NO - Temp. Amb.,29991
DS040,C 43,16915,,4370622-6697594-620,4370622,Tracción,4370622-620-T1,620,15,,,25,,,,,,,572,,,723,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS040/84 x 9 - DS 40- C 43 (Ciclo 16915).xlsx,,Tracción segmento tubular - 19 mm - ASTM - Temp. Amb.,29991
